State,County,Biden Vote %,Trump Vote %,Other Vote %,Was Winner Democrat?
Alabama,Autauga,27.0,71.4,1.5,0
Alabama,Baldwin,22.4,76.2,1.4,0
Alabama,Barbour,45.8,53.5,0.8,0
Alabama,Bibb,20.7,78.4,0.9,0
Alabama,Blount,9.6,89.6,0.9,0
Alabama,Bullock,74.7,24.8,0.5,1
Alabama,Butler,41.8,57.5,0.7,0
Alabama,Calhoun,29.8,68.8,1.3,0
Alabama,Chambers,41.6,57.3,1.1,0
Alabama,Cherokee,13.2,86.0,0.8,0
Alabama,Chilton,15.9,83.3,0.8,0
Alabama,Choctaw,41.9,57.6,0.5,0
Alabama,Clarke,43.8,55.8,0.4,0
Alabama,Clay,18.3,80.8,0.9,0
Alabama,Cleburne,9.3,89.7,0.9,0
Alabama,Coffee,22.8,75.9,1.3,0
Alabama,Colbert,29.9,68.9,1.2,0
Alabama,Conecuh,46.0,53.4,0.5,0
Alabama,Coosa,32.8,66.3,0.9,0
Alabama,Covington,15.6,83.7,0.7,0
Alabama,Crenshaw,25.7,73.5,0.8,0
Alabama,Cullman,10.7,88.1,1.2,0
Alabama,Dale,26.2,72.5,1.3,0
Alabama,Dallas,68.5,30.9,0.6,1
Alabama,DeKalb,14.6,84.4,1.0,0
Alabama,Elmore,25.3,73.5,1.2,0
Alabama,Escambia,30.9,68.3,0.8,0
Alabama,Etowah,24.2,74.4,1.3,0
Alabama,Fayette,15.9,83.3,0.8,0
Alabama,Franklin,16.6,82.5,0.9,0
Alabama,Geneva,12.7,86.5,0.8,0
Alabama,Greene,81.3,18.3,0.3,1
Alabama,Hale,59.0,40.4,0.6,1
Alabama,Henry,28.0,71.1,0.9,0
Alabama,Houston,28.0,70.6,1.4,0
Alabama,Jackson,15.7,83.2,1.1,0
Alabama,Jefferson,55.8,42.6,1.6,1
Alabama,Lamar,13.6,85.8,0.6,0
Alabama,Lauderdale,26.9,71.5,1.6,0
Alabama,Lawrence,22.2,76.9,0.9,0
Alabama,Lee,39.0,59.1,1.9,0
Alabama,Limestone,27.8,70.4,1.9,0
Alabama,Lowndes,72.7,26.9,0.4,1
Alabama,Macon,81.5,17.7,0.8,1
Alabama,Madison,44.8,52.8,2.4,0
Alabama,Marengo,50.3,49.0,0.6,1
Alabama,Marion,10.6,88.4,1.0,0
Alabama,Marshall,15.0,83.7,1.3,0
Alabama,Mobile,43.4,55.3,1.3,0
Alabama,Monroe,41.8,57.6,0.6,0
Alabama,Montgomery,65.1,33.6,1.3,1
Alabama,Morgan,24.6,73.8,1.5,0
Alabama,Perry,73.8,25.6,0.6,1
Alabama,Pickens,41.6,57.9,0.5,0
Alabama,Pike,40.7,58.1,1.2,0
Alabama,Randolph,20.3,79.0,0.7,0
Alabama,Russell,52.6,46.2,1.1,1
Alabama,St. Clair,17.4,81.4,1.2,0
