,FIPS,State,County,Day,Month,Year,Week,Completeness Percent,Complete 18 Plus Percent,Complete 65 Plus Percent,Booster Percent,Booster 18 Plus Percent,Booster 65 Plus Percent,SVI,Metro Status,Biden Vote %,Trump Vote %,Other Vote %
0,36051,NY,Livingston County,12,3,2022,10,97.6,65.2,89.8,57.3,61.2,78.0,B,1.0,39.7,57.9,2.3
1,36101,NY,Steuben County,12,3,2022,10,97.6,68.3,82.7,48.6,52.1,63.9,B,0.0,34.2,63.8,2.0
2,12027,FL,DeSoto County,12,3,2022,10,98.6,52.8,73.3,30.5,32.2,50.8,D,0.0,33.6,65.6,0.8
3,21213,KY,Simpson County,12,3,2022,10,94.0,61.3,86.2,42.6,45.1,66.2,B,0.0,30.7,67.4,1.9
4,13093,GA,Dooly County,12,3,2022,10,89.7,41.5,53.0,35.3,37.3,56.3,D,0.0,46.5,52.6,0.9
5,37189,NC,Watauga County,12,3,2022,10,97.0,58.5,79.0,33.7,35.2,53.6,B,0.0,53.1,44.9,2.0
6,12031,FL,Duval County,12,3,2022,10,98.6,71.7,92.5,36.7,39.1,62.9,C,1.0,51.1,47.3,1.6
7,48187,TX,Guadalupe County,12,3,2022,10,99.0,64.4,81.8,35.6,39.0,59.3,B,1.0,37.0,61.2,1.8
8,46083,SD,Lincoln County,12,3,2022,10,96.7,69.7,80.7,40.9,45.5,64.8,A,1.0,37.0,60.6,2.5
9,51051,VA,Dickenson County,12,3,2022,10,79.3,53.8,72.8,34.9,36.7,49.0,C,0.0,20.6,78.7,0.7
10,08041,CO,El Paso County,12,3,2022,10,97.1,75.2,90.5,39.9,43.0,68.6,B,1.0,42.7,53.5,3.7
11,06021,CA,Glenn County,12,3,2022,10,97.5,67.0,88.4,42.0,45.7,63.3,D,0.0,35.4,62.5,2.1
12,20075,KS,Hamilton County,12,3,2022,10,93.6,54.4,59.2,34.5,36.6,65.6,B,0.0,16.4,81.3,2.3
13,17137,IL,Morgan County,12,3,2022,10,98.4,62.2,83.2,50.0,52.9,74.4,C,0.0,33.1,64.9,2.0
14,21071,KY,Floyd County,12,3,2022,10,94.0,67.2,79.2,40.9,43.5,65.0,D,0.0,23.8,74.9,1.3
15,39089,OH,Licking County,12,3,2022,10,98.6,64.1,86.8,49.4,53.0,71.8,A,1.0,35.0,63.0,1.9
16,47145,TN,Roane County,12,3,2022,10,97.8,51.8,67.3,46.2,47.9,68.6,B,1.0,23.3,74.2,2.5
17,35039,NM,Rio Arriba County,12,3,2022,10,97.0,88.3,92.8,48.8,53.5,68.7,,0.0,66.1,32.5,1.4
18,39071,OH,Highland County,12,3,2022,10,98.6,46.9,70.8,44.4,46.1,62.5,C,0.0,19.3,79.7,1.0
19,48139,TX,Ellis County,12,3,2022,10,99.0,65.3,87.4,33.7,36.8,59.5,B,1.0,32.2,66.2,1.6
20,17169,IL,Schuyler County,12,3,2022,10,98.4,64.1,82.3,52.7,55.0,75.6,C,0.0,27.3,70.8,2.0
21,53057,WA,Skagit County,12,3,2022,10,96.0,76.7,91.7,53.2,56.9,79.1,C,1.0,52.1,44.6,3.3
22,51775,VA,Salem city,12,3,2022,10,0.0,0.0,0.0,0.0,0.0,0.0,B,1.0,39.4,58.9,1.7
23,31121,NE,Merrick County,12,3,2022,10,90.5,51.5,73.7,57.3,61.4,81.9,A,1.0,17.4,79.8,2.8
24,40145,OK,Wagoner County,12,3,2022,10,93.7,56.4,73.1,38.0,40.6,61.9,B,1.0,24.0,74.0,2.0
25,12015,FL,Charlotte County,12,3,2022,10,98.6,71.2,87.6,45.5,46.6,55.7,B,1.0,36.3,62.8,0.9
26,29033,MO,Carroll County,12,3,2022,10,91.3,60.9,85.6,40.7,41.9,59.8,C,0.0,17.3,81.8,0.9
27,17015,IL,Carroll County,12,3,2022,10,98.4,76.1,88.9,45.2,46.9,65.4,A,0.0,34.2,63.5,2.3
28,28049,MS,Hinds County,12,3,2022,10,98.1,67.5,89.1,40.6,44.3,68.9,D,1.0,73.4,25.1,1.6
29,51183,VA,Sussex County,12,3,2022,10,79.3,40.7,61.4,20.5,21.0,11.5,D,1.0,55.6,43.6,0.8
30,28067,MS,Jones County,12,3,2022,10,98.1,53.5,77.6,34.8,37.0,58.0,D,0.0,28.3,70.5,1.1
31,37165,NC,Scotland County,12,3,2022,10,97.0,57.2,78.5,28.1,29.5,37.2,D,0.0,48.6,50.6,0.8
32,48195,TX,Hansford County,12,3,2022,10,99.0,56.5,83.5,32.9,34.6,51.2,D,0.0,8.1,90.3,1.6
33,12073,FL,Leon County,12,3,2022,10,98.6,62.6,92.0,44.4,47.5,69.3,B,1.0,63.3,35.1,1.5
34,31049,NE,Deuel County,12,3,2022,10,90.5,41.9,65.2,51.8,54.3,69.7,A,0.0,13.6,84.2,2.1
35,42123,PA,Warren County,12,3,2022,10,94.7,56.7,74.8,46.2,48.6,62.0,A,0.0,29.4,68.9,1.7
36,39153,OH,Summit County,12,3,2022,10,98.6,71.4,88.5,53.3,57.3,74.6,B,1.0,53.9,44.4,1.7
37,20029,KS,Cloud County,12,3,2022,10,93.6,58.1,81.8,42.6,44.8,61.8,B,0.0,21.6,76.0,2.4
38,18149,IN,Starke County,12,3,2022,10,98.6,45.2,69.7,43.2,44.9,60.8,B,0.0,25.7,72.4,1.9
39,29089,MO,Howard County,12,3,2022,10,91.3,51.6,73.4,43.3,45.6,63.9,B,0.0,27.7,69.8,2.5
40,29085,MO,Hickory County,12,3,2022,10,91.3,44.6,60.6,51.0,51.9,64.6,B,0.0,20.8,78.1,1.1
41,05113,AR,Polk County,12,3,2022,10,90.5,42.9,51.1,32.9,34.5,53.5,D,0.0,14.7,82.9,2.4
42,48225,TX,Houston County,12,3,2022,10,99.0,50.3,63.8,41.0,42.3,54.0,D,0.0,24.5,74.8,0.7
43,47105,TN,Loudon County,12,3,2022,10,97.8,74.8,95.0,50.0,51.9,72.4,B,1.0,23.7,74.0,2.3
44,54039,WV,Kanawha County,12,3,2022,10,97.2,74.3,89.2,50.5,53.9,71.9,C,1.0,41.8,56.4,1.8
45,48317,TX,Martin County,12,3,2022,10,99.0,41.7,66.0,29.6,31.5,48.0,B,1.0,13.3,86.0,0.7
46,06055,CA,Napa County,12,3,2022,10,97.5,84.9,91.2,56.2,61.2,77.8,C,1.0,69.0,28.7,2.3
47,29227,MO,Worth County,12,3,2022,10,91.3,49.2,70.3,42.0,42.9,56.9,A,0.0,19.4,79.2,1.4
48,55099,WI,Price County,12,3,2022,10,96.9,70.6,91.3,56.5,59.5,75.8,A,0.0,35.5,63.1,1.4
49,08085,CO,Montrose County,12,3,2022,10,97.1,57.1,78.5,50.2,53.0,65.7,C,0.0,30.8,67.3,1.9
50,27121,MN,Pope County,12,3,2022,10,94.6,66.0,86.3,58.9,63.1,77.7,A,0.0,35.3,62.9,1.8
51,40113,OK,Osage County,12,3,2022,10,93.7,40.4,50.4,36.6,39.1,60.6,C,1.0,29.2,68.8,2.0
52,08009,CO,Baca County,12,3,2022,10,97.1,48.0,66.7,49.5,51.3,63.7,C,0.0,14.2,83.9,1.8
53,13279,GA,Toombs County,12,3,2022,10,89.7,53.6,72.2,31.4,32.9,53.2,D,0.0,26.9,72.1,0.9
54,48297,TX,Live Oak County,12,3,2022,10,99.0,50.8,56.4,30.1,31.1,58.1,C,0.0,16.2,83.1,0.7
55,27039,MN,Dodge County,12,3,2022,10,94.6,70.1,88.2,56.0,61.9,78.9,A,1.0,33.5,63.9,2.7
56,13313,GA,Whitfield County,12,3,2022,10,89.7,52.6,72.3,33.8,36.4,56.2,D,1.0,29.0,69.7,1.2
57,47153,TN,Sequatchie County,12,3,2022,10,97.8,41.6,61.7,43.7,45.4,65.5,C,1.0,17.9,80.7,1.4
58,48303,TX,Lubbock County,12,3,2022,10,99.0,58.0,83.9,35.3,37.7,56.8,C,1.0,33.1,65.3,1.6
59,12065,FL,Jefferson County,12,3,2022,10,98.6,67.5,95.0,37.3,39.0,46.6,C,1.0,46.0,52.9,1.1
60,37153,NC,Richmond County,12,3,2022,10,97.0,57.5,79.4,30.7,32.3,46.6,D,0.0,42.2,57.0,0.9
61,27053,MN,Hennepin County,12,3,2022,10,94.6,82.3,93.2,59.3,64.8,83.6,B,1.0,70.5,27.2,2.3000000000000003
62,20049,KS,Elk County,12,3,2022,10,93.6,41.8,53.7,49.6,51.5,71.0,B,0.0,14.3,83.8,1.9
63,51685,VA,Manassas Park city,12,3,2022,10,79.3,51.8,57.8,0.9,0.9,1.4,C,1.0,65.6,32.5,1.9
64,27071,MN,Koochiching County,12,3,2022,10,94.6,67.0,82.1,60.5,62.8,78.4,B,0.0,38.4,59.7,1.9
