,FIPS,State_x,County_x,Day,Month,Year,Week,Completeness Percent,Complete 18 Plus Percent,Complete 65 Plus Percent,Booster Percent,Booster 18 Plus Percent,Booster 65 Plus Percent,SVI,Metro Status,State_y,County_y,Biden Vote %,Trump Vote %,Other Vote %
0,12027,FL,DeSoto County,12,3,2022,10,98.6,52.8,73.3,30.5,32.2,50.8,D,0.0,Florida,DeSoto,33.6,65.6,0.8
1,12027,FL,DeSoto County,12,3,2022,10,98.6,52.8,73.3,30.5,32.2,50.8,D,0.0,Mississippi,DeSoto,37.1,61.0,1.9
2,21213,KY,Simpson County,12,3,2022,10,94.0,61.3,86.2,42.6,45.1,66.2,B,0.0,Kentucky,Simpson,30.7,67.4,1.9
3,21213,KY,Simpson County,12,3,2022,10,94.0,61.3,86.2,42.6,45.1,66.2,B,0.0,Mississippi,Simpson,34.2,64.6,1.2
4,13093,GA,Dooly County,12,3,2022,10,89.7,41.5,53.0,35.3,37.3,56.3,D,0.0,Georgia,Dooly,46.5,52.6,0.9
5,37189,NC,Watauga County,12,3,2022,10,97.0,58.5,79.0,33.7,35.2,53.6,B,0.0,North Carolina,Watauga,53.1,44.9,2.0
6,12031,FL,Duval County,12,3,2022,10,98.6,71.7,92.5,36.7,39.1,62.9,C,1.0,Florida,Duval,51.1,47.3,1.6
7,12031,FL,Duval County,12,3,2022,10,98.6,71.7,92.5,36.7,39.1,62.9,C,1.0,Texas,Duval,51.0,48.3,0.7
8,51051,VA,Dickenson County,12,3,2022,10,79.3,53.8,72.8,34.9,36.7,49.0,C,0.0,Virginia,Dickenson,20.6,78.7,0.7
9,08041,CO,El Paso County,12,3,2022,10,97.1,75.2,90.5,39.9,43.0,68.6,B,1.0,Colorado,El Paso,42.7,53.5,3.7
10,08041,CO,El Paso County,12,3,2022,10,97.1,75.2,90.5,39.9,43.0,68.6,B,1.0,Texas,El Paso,66.7,31.6,1.8
11,06021,CA,Glenn County,12,3,2022,10,97.5,67.0,88.4,42.0,45.7,63.3,D,0.0,California,Glenn,35.4,62.5,2.1
12,39089,OH,Licking County,12,3,2022,10,98.6,64.1,86.8,49.4,53.0,71.8,A,1.0,Ohio,Licking,35.0,63.0,1.9
13,47145,TN,Roane County,12,3,2022,10,97.8,51.8,67.3,46.2,47.9,68.6,B,1.0,Tennessee,Roane,23.3,74.2,2.5
14,47145,TN,Roane County,12,3,2022,10,97.8,51.8,67.3,46.2,47.9,68.6,B,1.0,West Virginia,Roane,25.2,73.1,1.6
15,35039,NM,Rio Arriba County,12,3,2022,10,97.0,88.3,92.8,48.8,53.5,68.7,,0.0,New Mexico,Rio Arriba,66.1,32.5,1.4
16,39071,OH,Highland County,12,3,2022,10,98.6,46.9,70.8,44.4,46.1,62.5,C,0.0,Ohio,Highland,19.3,79.7,1.0
17,39071,OH,Highland County,12,3,2022,10,98.6,46.9,70.8,44.4,46.1,62.5,C,0.0,Virginia,Highland,27.2,71.2,1.6
18,17169,IL,Schuyler County,12,3,2022,10,98.4,64.1,82.3,52.7,55.0,75.6,C,0.0,Illinois,Schuyler,27.3,70.8,2.0
19,17169,IL,Schuyler County,12,3,2022,10,98.4,64.1,82.3,52.7,55.0,75.6,C,0.0,Missouri,Schuyler,18.6,80.2,1.2
