fips,state,county,comp_vax_rate,comp_vax_rate_65up,booster_rate,booster_rate_18up,booster_rate_65up,svi,metro_status
48499,TX,Wood County,99,72,42.7,43.9,59.5,C,0
8063,CO,Kit Carson County,97.1,72.7,43.1,45.3,59.4,C,0
56021,WY,Laramie County,97.1,87.9,36.4,38.8,61.1,B,1
12029,FL,Dixie County,98.6,67.8,34,35,44.9,D,0
41055,OR,Sherman County,97.8,80.4,49.2,51.1,72.5,A,0
37087,NC,Haywood County,97,84.2,33.2,34.8,44.5,B,1
16031,ID,Cassia County,97.8,72.6,31.1,34.1,58.8,C,0
30059,MT,Meagher County,95.8,63.8,51.2,52.8,64.9,A,0
29089,MO,Howard County,91.3,73.4,43.3,45.6,63.9,B,0
40061,OK,Haskell County,93.7,72.5,39.1,41,61,D,0
47067,TN,Hancock County,97.8,52.6,38.8,39.9,54.4,D,0
48295,TX,Lipscomb County,99,66.6,31.2,31.8,48.7,B,0
21239,KY,Woodford County,94,87.9,47.6,51.4,69.2,A,1
27059,MN,Isanti County,94.6,73.3,57.1,61.2,86.9,A,1
31133,NE,Pawnee County,90.5,66.5,52,54.3,72.3,A,0
29091,MO,Howell County,91.3,56.3,40.7,43,63.6,C,0
40153,OK,Woodward County,93.7,75.6,39.8,42,62.5,C,0
36063,NY,Niagara County,97.6,88,53.5,57.4,75.6,B,1
28111,MS,Perry County,98.1,66.1,32.3,34,51.8,C,1
13025,GA,Brantley County,89.7,50.4,26.3,27.3,40.5,C,1
27119,MN,Polk County,94.6,87.4,41.5,45,62.2,B,1
21133,KY,Letcher County,94,75.1,44.4,47.4,68.1,D,0
36109,NY,Tompkins County,97.6,95,55.6,58.8,80.7,B,1
17039,IL,De Witt County,98.4,82.5,49.6,52.4,75.3,A,1
13201,GA,Miller County,89.7,75.3,33.8,35.7,51.9,D,0
26089,MI,Leelanau County,95.5,95,57.7,60.4,76.7,A,0
28017,MS,Chickasaw County,98.1,88.6,34.7,36.5,55.1,D,0
39019,OH,Carroll County,98.6,77.1,54.2,56.4,74.1,A,1
13097,GA,Douglas County,89.7,76.9,35.3,38,55.1,C,1
38103,ND,Wells County,92.6,67.1,49.9,51.1,62.9,A,0
5141,AR,Van Buren County,90.5,65.6,49.4,51.5,70.8,C,0
13211,GA,Morgan County,89.7,77.1,39.3,41.1,57.1,A,1
19121,IA,Madison County,97.4,90.1,53.6,57.7,78.8,A,1
12117,FL,Seminole County,98.6,82.6,45.4,49.3,71.1,A,1
41063,OR,Wallowa County,97.8,84,54.2,56.8,69.1,C,0
17179,IL,Tazewell County,98.4,86.1,51.1,54.9,76.4,A,1
28139,MS,Tippah County,98.1,82.9,36.5,38,56.7,D,0
20109,KS,Logan County,93.6,89.5,44.8,46.8,63.1,A,0
35061,NM,Valencia County,97,80.7,48.8,52.7,67.2,D,1
46059,SD,Hand County,96.7,76.4,50.2,52.4,71.1,A,0
22077,LA,Pointe Coupee Parish,96.8,79.4,43.6,46.2,73.1,D,1
72077,PR,Juncos Municipio,95.9,90.5,53.8,57.1,61.8,C,1
54027,WV,Hampshire County,97.2,70.3,39.7,41.1,56.6,C,1
21193,KY,Perry County,94,90.8,40.1,42.5,63.1,D,0
UNK,WV,Unknown County,97.2,0,56.4,58.1,95,,
37023,NC,Burke County,97,70,25.4,26.7,38.4,D,1
6067,CA,Sacramento County,97.5,89.7,51.4,56.5,74.5,C,1
29113,MO,Lincoln County,91.3,75,42.1,44.6,68.1,B,1
5145,AR,White County,90.5,77,35.5,37.8,52.5,C,0
38007,ND,Billings County,92.6,24.6,33,33.9,50,A,0
31109,NE,Lancaster County,90.5,94.6,55.7,60.9,81.2,B,1
51163,VA,Rockbridge County,79.3,64.9,19.8,20.5,25.8,A,0
